Customer ID,Full Name,Date of Purchase,Age,State,REGION,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn
CUST0007,Boma Stewart,Mar-25,24,Jigawa,North West,Broadband MiFi,Female,5,Excellent,39,120GB Monthly Broadband Plan,"?24,000.00",11,"?264,000.00",150.3,Yes,Relocation
CUST0008,Ifeanyi Park,Jan-25,53,Kwara,North Central,Broadband MiFi,Male,3,Good,30,300GB FUP Monthly Unlimited,"?30,000.00",17,"?510,000.00",168.41,No,
CUST0009,Bala Robbins,Jan-25,35,Gombe,North East,Broadband MiFi,Male,5,Excellent,35,300GB FUP Monthly Unlimited,"?30,000.00",10,"?300,000.00",175.81,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,South East,4G Router,Male,1,Poor,6,10GB+10mins Monthly Plan,"?4,500.00",20,"?90,000.00",53.38,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,South East,Broadband MiFi,Male,1,Poor,6,60GB Monthly Broadband Plan,"?14,500.00",18,"?261,000.00",192.89,No,
CUST0010,Halima Ochoa,Mar-25,23,Imo,South East,Mobile SIM Card,Male,1,Poor,6,500MB Daily Plan,?350.00,13,"?4,550.00",142.73,No,
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,North East,4G Router,Female,2,Fair,8,65GB Monthly Plan,"?16,000.00",2,"?32,000.00",14.66,Yes,Poor Network
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,North East,5G Broadband Router,Female,2,Fair,8,60GB Monthly Broadband Plan,"?14,500.00",2,"?29,000.00",13.95,Yes,Poor Network
CUST0011,Ejiro Griffith,Feb-25,72,Bauchi,North East,Broadband MiFi,Female,2,Fair,8,300GB FUP Monthly Unlimited,"?30,000.00",8,"?240,000.00",14.64,Yes,Poor Network
CUST0012,Zainab Morton,Mar-25,78,Ondo,South West,4G Router,Male,2,Fair,47,65GB Monthly Plan,"?16,000.00",12,"?192,000.00",131.97,No,
CUST0012,Zainab Morton,Mar-25,78,Ondo,South West,Broadband MiFi,Male,2,Fair,47,60GB Monthly Broadband Plan,"?14,500.00",2,"?29,000.00",82.51,No,
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,North West,4G Router,Female,2,Fair,52,10GB+10mins Monthly Plan,"?4,500.00",8,"?36,000.00",56.07,Yes,Relocation
CUST0013,Ngozi Moreno,Jan-25,23,Kebbi,North West,Mobile SIM Card,Female,2,Fair,52,3.2GB 2-Day Plan,"?1,000.00",18,"?18,000.00",88.9,Yes,Relocation
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,North East,4G Router,Male,2,Fair,6,65GB Monthly Plan,"?16,000.00",1,"?16,000.00",33.35,No,
CUST0014,Ngozi Crawford,Feb-25,22,Adamawa,North East,Mobile SIM Card,Male,2,Fair,6,20GB Monthly Plan,"?7,500.00",15,"?112,500.00",53.41,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,North East,Broadband MiFi,Male,2,Fair,13,30GB Monthly Broadband Plan,"?9,000.00",16,"?144,000.00",10.5,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,North East,5G Broadband Router,Male,2,Fair,13,300GB FUP Monthly Unlimited,"?30,000.00",17,"?510,000.00",11.85,No,
CUST0015,Abubakar Garner,Mar-25,70,Yobe,North East,4G Router,Male,2,Fair,13,65GB Monthly Plan,"?16,000.00",3,"?48,000.00",170.34,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,North West,Broadband MiFi,Male,5,Excellent,57,300GB FUP Monthly Unlimited,"?30,000.00",11,"?330,000.00",41.25,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,North West,4G Router,Male,5,Excellent,57,10GB+10mins Monthly Plan,"?4,500.00",5,"?22,500.00",53.49,No,
CUST0016,Kunle Ford,Feb-25,46,Kebbi,North West,5G Broadband Router,Male,5,Excellent,57,120GB Monthly Broadband Plan,"?24,000.00",3,"?72,000.00",91.72,No,
CUST0017,Tunde Hayes,Feb-25,74,Anambra,South East,4G Router,Male,5,Excellent,35,25GB Monthly Plan,"?9,000.00",15,"?135,000.00",57.35,Yes,Costly Data Plans
CUST0018,David Fletcher,Mar-25,54,Bauchi,North East,5G Broadband Router,Male,1,Poor,43,150GB FUP Monthly Unlimited,"?20,000.00",18,"?360,000.00",178,No,
CUST0019,Obinna Wright,Mar-25,50,Cross River,South South,Mobile SIM Card,Male,2,Fair,46,2.5GB 2-Day Plan,?900.00,14,"?12,600.00",18.91,No,
CUST0019,Obinna Wright,Mar-25,50,Cross River,South South,4G Router,Male,2,Fair,46,25GB Monthly Plan,"?9,000.00",11,"?99,000.00",9.3,No,
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),North Central,4G Router,Female,5,Excellent,36,25GB Monthly Plan,"?9,000.00",5,"?45,000.00",116.71,Yes,Poor Network
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),North Central,5G Broadband Router,Female,5,Excellent,36,450GB 3-Month Broadband Plan,"?75,000.00",10,"?750,000.00",25.93,Yes,Poor Network
CUST0020,Amaka Reed,Mar-25,49,Abuja (FCT),North Central,Broadband MiFi,Female,5,Excellent,36,300GB FUP Monthly Unlimited,"?30,000.00",2,"?60,000.00",179.85,Yes,Poor Network
CUST0021,Oghene Brown,Mar-25,42,Imo,South East,Mobile SIM Card,Male,5,Excellent,23,10GB+10mins Monthly Plan,"?4,500.00",1,"?4,500.00",176.34,No,
CUST0022,Shehu Ferguson,Feb-25,58,Kogi,North Central,Mobile SIM Card,Male,1,Poor,18,500MB Daily Plan,?350.00,15,"?5,250.00",40.31,No,
CUST0023,Oghene Vazquez,Feb-25,55,Osun,South West,5G Broadband Router,Male,4,Very Good,2,200GB Monthly Broadband Plan,"?25,000.00",13,"?325,000.00",128.48,No,
CUST0024,David Johnson,Mar-25,58,Kano,North West,Broadband MiFi,Male,2,Fair,57,120GB Monthly Broadband Plan,"?24,000.00",11,"?264,000.00",87.2,No,
CUST0024,David Johnson,Mar-25,58,Kano,North West,Mobile SIM Card,Male,2,Fair,57,20GB Monthly Plan,"?7,500.00",17,"?127,500.00",121.44,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,North Central,4G Router,Female,1,Poor,3,65GB Monthly Plan,"?16,000.00",11,"?176,000.00",189.8,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,North Central,Mobile SIM Card,Female,1,Poor,3,7GB Monthly Plan,"?3,500.00",4,"?14,000.00",132.85,No,
CUST0025,Ifeanyi Brown,Mar-25,65,Benue,North Central,5G Broadband Router,Female,1,Poor,3,120GB Monthly Broadband Plan,"?24,000.00",14,"?336,000.00",101.67,No,
CUST0026,Ese Simmons,Mar-25,67,Cross River,South South,5G Broadband Router,Male,4,Very Good,13,450GB 3-Month Broadband Plan,"?75,000.00",1,"?75,000.00",109.81,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,South West,4G Router,Female,4,Very Good,51,10GB+10mins Monthly Plan,"?4,500.00",10,"?45,000.00",131.94,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,South West,5G Broadband Router,Female,4,Very Good,51,200GB Monthly Broadband Plan,"?25,000.00",8,"?200,000.00",19.13,No,
CUST0027,Maryam Reyes,Mar-25,52,Ondo,South West,Mobile SIM Card,Female,4,Very Good,51,1GB+1.5mins Daily Plan,?500.00,7,"?3,500.00",45.32,No,
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,South South,Mobile SIM Card,Male,4,Very Good,31,10GB+10mins Monthly Plan,"?4,500.00",5,"?22,500.00",80.23,No,
CUST0028,Obinna Sanchez,Jan-25,19,Rivers,South South,Mobile SIM Card,Male,4,Very Good,31,2.5GB 2-Day Plan,?900.00,4,"?3,600.00",178.59,No,
CUST0029,Boma Franco,Feb-25,44,Enugu,South East,5G Broadband Router,Female,1,Poor,4,450GB 3-Month Broadband Plan,"?75,000.00",18,"?1,350,000.00",166.2,No,
CUST0029,Boma Franco,Feb-25,44,Enugu,South East,4G Router,Female,1,Poor,4,165GB Monthly Plan,"?35,000.00",16,"?560,000.00",179.49,No,
CUST0030,Alabo Davis,Mar-25,49,Imo,South East,5G Broadband Router,Female,2,Fair,50,200GB Monthly Broadband Plan,"?25,000.00",18,"?450,000.00",64.28,Yes,Poor Network
CUST0030,Alabo Davis,Mar-25,49,Imo,South East,Broadband MiFi,Female,2,Fair,50,30GB Monthly Broadband Plan,"?9,000.00",8,"?72,000.00",28.11,Yes,Poor Network
CUST0030,Alabo Davis,Mar-25,49,Imo,South East,4G Router,Female,2,Fair,50,165GB Monthly Plan,"?35,000.00",7,"?245,000.00",138.94,Yes,Poor Network
CUST0031,Kunle West,Mar-25,69,Kogi,North Central,Mobile SIM Card,Female,4,Very Good,35,2.5GB 2-Day Plan,?900.00,19,"?17,100.00",171.42,Yes,Better Offers from Competitors
CUST0031,Kunle West,Feb-25,69,Kogi,North Central,5G Broadband Router,Female,4,Very Good,35,450GB 3-Month Broadband Plan,"?75,000.00",12,"?900,000.00",95.66,Yes,Better Offers from Competitors
CUST0032,Maryam Terry,Feb-25,65,Kogi,North Central,Mobile SIM Card,Male,3,Good,32,7GB Monthly Plan,"?3,500.00",13,"?45,500.00",133.94,No,
CUST0033,Amina Mosley,Feb-25,75,Borno,North East,Broadband MiFi,Male,5,Excellent,59,60GB Monthly Broadband Plan,"?14,500.00",15,"?217,500.00",27.57,No,
CUST0034,Shehu Anderson,Feb-25,22,Edo,South South,5G Broadband Router,Female,4,Very Good,21,120GB Monthly Broadband Plan,"?24,000.00",16,"?384,000.00",167.06,No,
CUST0034,Shehu Anderson,Feb-25,22,Edo,South South,Mobile SIM Card,Female,4,Very Good,21,65GB Monthly Plan,"?16,000.00",2,"?32,000.00",149.93,No,
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,North West,4G Router,Male,2,Fair,49,165GB Monthly Plan,"?35,000.00",19,"?665,000.00",134.06,Yes,Poor Network
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,North West,Broadband MiFi,Male,2,Fair,49,150GB FUP Monthly Unlimited,"?20,000.00",9,"?180,000.00",93.27,Yes,Poor Network
CUST0035,Oghene Mcguire,Jan-25,44,Kaduna,North West,5G Broadband Router,Male,2,Fair,49,200GB Monthly Broadband Plan,"?25,000.00",20,"?500,000.00",33.97,Yes,Poor Network
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,South East,Mobile SIM Card,Male,3,Good,38,500MB Daily Plan,?350.00,8,"?2,800.00",15.66,No,
CUST0036,Ifeanyi Randall,Jan-25,36,Abia,South East,5G Broadband Router,Male,3,Good,38,150GB FUP Monthly Unlimited,"?20,000.00",10,"?200,000.00",139.59,No,
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,South West,Broadband MiFi,Female,1,Poor,43,60GB Monthly Broadband Plan,"?14,500.00",12,"?174,000.00",21.56,No,
CUST0037,Ifeanyi Ruiz,Mar-25,21,Ekiti,South West,4G Router,Female,1,Poor,43,165GB Monthly Plan,"?35,000.00",14,"?490,000.00",141.61,No,
CUST0038,Shehu Randall,Feb-25,50,Adamawa,North East,Broadband MiFi,Female,5,Excellent,30,300GB FUP Monthly Unlimited,"?30,000.00",8,"?240,000.00",176.39,Yes,Better Offers from Competitors
CUST0039,Zina Green,Mar-25,64,Bayelsa,South South,5G Broadband Router,Male,2,Fair,32,120GB Monthly Broadband Plan,"?24,000.00",9,"?216,000.00",176.12,No,
CUST0039,Zina Green,Mar-25,64,Bayelsa,South South,Mobile SIM Card,Male,2,Fair,32,65GB Monthly Plan,"?16,000.00",7,"?112,000.00",103.57,No,
CUST0040,Chinedu Ruiz,Feb-25,46,Kogi,North Central,Mobile SIM Card,Female,4,Very Good,36,3.2GB 2-Day Plan,"?1,000.00",13,"?13,000.00",59.2,No,
CUST0040,Chinedu Ruiz,Feb-25,46,Kogi,North Central,Broadband MiFi,Female,4,Very Good,36,150GB FUP Monthly Unlimited,"?20,000.00",19,"?380,000.00",61.59,No,
CUST0041,Ejiro Mason,Mar-25,76,Bauchi,North East,5G Broadband Router,Female,3,Good,28,60GB Monthly Broadband Plan,"?14,500.00",7,"?101,500.00",24.57,No,
CUST0041,Ejiro Mason,Mar-25,76,Bauchi,North East,Mobile SIM Card,Female,3,Good,28,25GB Monthly Plan,"?9,000.00",18,"?162,000.00",24.35,No,
CUST0042,Shehu Hoffman,Mar-25,40,Ondo,South West,4G Router,Female,1,Poor,18,10GB+10mins Monthly Plan,"?4,500.00",18,"?81,000.00",60.8,No,
CUST0042,Shehu Hoffman,Mar-25,40,Ondo,South West,Mobile SIM Card,Female,1,Poor,18,1.5GB 2-Day Plan,?600.00,2,"?1,200.00",55.23,No,
CUST0043,Abubakar Johnson,Jan-25,32,Yobe,North East,5G Broadband Router,Male,5,Excellent,56,30GB Monthly Broadband Plan,"?9,000.00",16,"?144,000.00",50.87,Yes,Fast Data Consumption
CUST0043,Abubakar Johnson,Jan-25,32,Yobe,North East,Broadband MiFi,Male,5,Excellent,56,30GB Monthly Broadband Plan,"?9,000.00",13,"?117,000.00",164.51,Yes,Fast Data Consumption
CUST0044,Grace Walker,Mar-25,25,Oyo,South West,Mobile SIM Card,Male,1,Poor,10,500MB Daily Plan,?350.00,13,"?4,550.00",155.25,No,
CUST0045,Alabo Thompson,Jan-25,72,Abia,South East,4G Router,Female,5,Excellent,20,10GB+10mins Monthly Plan,"?4,500.00",3,"?13,500.00",53.3,No,
CUST0046,Amina Wright,Jan-25,46,Enugu,South East,Mobile SIM Card,Male,4,Very Good,11,500MB Daily Plan,?350.00,10,"?3,500.00",57.98,No,
CUST0046,Amina Wright,Jan-25,46,Enugu,South East,4G Router,Male,4,Very Good,11,165GB Monthly Plan,"?35,000.00",8,"?280,000.00",14.7,No,
CUST0046,Amina Wright,Jan-25,46,Enugu,South East,Broadband MiFi,Male,4,Very Good,11,300GB FUP Monthly Unlimited,"?30,000.00",19,"?570,000.00",157.67,No,
CUST0047,Bala Christian,Feb-25,70,Delta,South South,Broadband MiFi,Male,3,Good,42,150GB FUP Monthly Unlimited,"?20,000.00",20,"?400,000.00",158.63,No,
CUST0048,Abubakar Gentry,Mar-25,72,Delta,South South,Mobile SIM Card,Female,4,Very Good,45,2.5GB 2-Day Plan,?900.00,11,"?9,900.00",177.94,No,
CUST0048,Abubakar Gentry,Mar-25,72,Delta,South South,4G Router,Female,4,Very Good,45,25GB Monthly Plan,"?9,000.00",8,"?72,000.00",5.66,No,
CUST0048,Abubakar Gentry,Mar-25,72,Delta,South South,Broadband MiFi,Female,4,Very Good,45,120GB Monthly Broadband Plan,"?24,000.00",1,"?24,000.00",117.63,No,
CUST0049,Zainab Taylor,Feb-25,21,Enugu,South East,Mobile SIM Card,Female,3,Good,34,12.5GB Monthly Plan,"?5,500.00",11,"?60,500.00",69.92,Yes,Relocation
CUST0049,Zainab Taylor,Feb-25,21,Enugu,South East,Broadband MiFi,Female,3,Good,34,300GB FUP Monthly Unlimited,"?30,000.00",6,"?180,000.00",134.19,Yes,Relocation
CUST0050,Tega Stevens,Feb-25,68,Yobe,North East,5G Broadband Router,Female,5,Excellent,43,150GB FUP Monthly Unlimited,"?20,000.00",13,"?260,000.00",194.05,Yes,Poor Network
CUST0050,Tega Stevens,Feb-25,68,Yobe,North East,4G Router,Female,5,Excellent,43,65GB Monthly Plan,"?16,000.00",18,"?288,000.00",131.7,Yes,Poor Network
CUST0051,Zina Carter,Mar-25,68,Oyo,South West,Mobile SIM Card,Male,5,Excellent,34,1GB+1.5mins Daily Plan,?500.00,10,"?5,000.00",110.07,No,
CUST0051,Zina Carter,Mar-25,68,Oyo,South West,Broadband MiFi,Male,5,Excellent,34,60GB Monthly Broadband Plan,"?14,500.00",16,"?232,000.00",176.23,No,
CUST0051,Zina Carter,Mar-25,68,Oyo,South West,5G Broadband Router,Male,5,Excellent,34,150GB FUP Monthly Unlimited,"?20,000.00",20,"?400,000.00",6.26,No,
CUST0052,Halima Johnston,Feb-25,36,Abia,South East,Mobile SIM Card,Male,1,Poor,36,3.2GB 2-Day Plan,"?1,000.00",5,"?5,000.00",129.72,Yes,Better Offers from Competitors
CUST0053,Grace Christensen,Feb-25,53,Zamfara,North West,Mobile SIM Card,Female,4,Very Good,27,500MB Daily Plan,?350.00,17,"?5,950.00",184.41,Yes,Relocation
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,South South,Mobile SIM Card,Female,1,Poor,22,16.5GB+10mins Monthly Plan,"?6,500.00",11,"?71,500.00",97.13,Yes,Costly Data Plans
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,South South,Broadband MiFi,Female,1,Poor,22,120GB Monthly Broadband Plan,"?24,000.00",13,"?312,000.00",152.69,Yes,Costly Data Plans
CUST0054,Amaka Potter,Mar-25,24,Akwa Ibom,South South,Mobile SIM Card,Female,1,Poor,22,165GB Monthly Plan,"?35,000.00",7,"?245,000.00",186.6,Yes,Costly Data Plans
CUST0055,Halima Smith,Mar-25,65,Osun,South West,Mobile SIM Card,Female,4,Very Good,3,1.5GB 2-Day Plan,?600.00,2,"?1,200.00",99.32,No,
CUST0055,Halima Smith,Mar-25,65,Osun,South West,5G Broadband Router,Female,4,Very Good,3,300GB FUP Monthly Unlimited,"?30,000.00",19,"?570,000.00",100.71,No,
CUST0056,Tega Daniels,Feb-25,28,Nasarawa,North Central,Mobile SIM Card,Male,1,Poor,34,165GB Monthly Plan,"?35,000.00",9,"?315,000.00",156.41,No,
CUST0056,Tega Daniels,Feb-25,28,Nasarawa,North Central,Broadband MiFi,Male,1,Poor,34,300GB FUP Monthly Unlimited,"?30,000.00",13,"?390,000.00",124.84,No,
CUST0057,Chinedu Davis,Feb-25,58,Adamawa,North East,5G Broadband Router,Female,5,Excellent,21,60GB Monthly Broadband Plan,"?14,500.00",14,"?203,000.00",149.48,Yes,Poor Network
CUST0058,Ngozi Brown,Mar-25,28,Nasarawa,North Central,5G Broadband Router,Male,1,Poor,45,200GB Monthly Broadband Plan,"?25,000.00",5,"?125,000.00",75.28,Yes,Better Offers from Competitors
CUST0059,Halima Williams,Jan-25,68,Enugu,South East,4G Router,Male,5,Excellent,12,10GB+10mins Monthly Plan,"?4,500.00",9,"?40,500.00",92.5,No,
CUST0059,Halima Williams,Jan-25,68,Enugu,South East,Mobile SIM Card,Male,5,Excellent,12,12.5GB Monthly Plan,"?5,500.00",1,"?5,500.00",51.44,No,
CUST0059,Halima Williams,Jan-25,68,Enugu,South East,Broadband MiFi,Male,5,Excellent,12,60GB Monthly Broadband Plan,"?14,500.00",18,"?261,000.00",180.29,No,
CUST0060,Amina Payne,Mar-25,25,Nasarawa,North Central,5G Broadband Router,Female,4,Very Good,38,450GB 3-Month Broadband Plan,"?75,000.00",4,"?300,000.00",170.74,No,
CUST0060,Amina Payne,Mar-25,25,Nasarawa,North Central,Broadband MiFi,Female,4,Very Good,38,150GB FUP Monthly Unlimited,"?20,000.00",12,"?240,000.00",76.58,No,
CUST0061,Abubakar Ewing,Jan-25,53,Kano,North West,Broadband MiFi,Female,5,Excellent,18,300GB FUP Monthly Unlimited,"?30,000.00",8,"?240,000.00",155.26,No,
CUST0061,Abubakar Ewing,Jan-25,53,Kano,North West,5G Broadband Router,Female,5,Excellent,18,200GB Monthly Broadband Plan,"?25,000.00",7,"?175,000.00",44.19,No,
CUST0061,Abubakar Ewing,Jan-25,53,Kano,North West,4G Router,Female,5,Excellent,18,25GB Monthly Plan,"?9,000.00",5,"?45,000.00",135.71,No,
CUST0062,Ngozi Henson,Mar-25,21,Abia,South East,Mobile SIM Card,Female,2,Fair,3,500MB Daily Plan,?350.00,18,"?6,300.00",26.87,Yes,Costly Data Plans
CUST0062,Ngozi Henson,Mar-25,21,Abia,South East,Broadband MiFi,Female,2,Fair,3,300GB FUP Monthly Unlimited,"?30,000.00",9,"?270,000.00",106.41,Yes,Costly Data Plans
CUST0063,Amina Flores,Mar-25,48,Taraba,North East,4G Router,Female,1,Poor,48,10GB+10mins Monthly Plan,"?4,500.00",13,"?58,500.00",172.1,No,
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,North West,5G Broadband Router,Male,4,Very Good,17,200GB Monthly Broadband Plan,"?25,000.00",8,"?200,000.00",22.12,No,
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,North West,Mobile SIM Card,Male,4,Very Good,17,12.5GB Monthly Plan,"?5,500.00",18,"?99,000.00",5.49,No,
CUST0064,Ejiro Ford,Jan-25,27,Kebbi,North West,4G Router,Male,4,Very Good,17,25GB Monthly Plan,"?9,000.00",8,"?72,000.00",183.09,No,
CUST0065,Kunle Shaw,Feb-25,75,Abia,South East,Mobile SIM Card,Female,1,Poor,8,3.2GB 2-Day Plan,"?1,000.00",18,"?18,000.00",47.34,No,
CUST0065,Kunle Shaw,Feb-25,75,Abia,South East,Broadband MiFi,Female,1,Poor,8,150GB FUP Monthly Unlimited,"?20,000.00",12,"?240,000.00",78.03,No,
CUST0066,David Schneider,Jan-25,69,Plateau,North Central,Broadband MiFi,Female,4,Very Good,42,300GB FUP Monthly Unlimited,"?30,000.00",15,"?450,000.00",43.85,No,
CUST0066,David Schneider,Jan-25,69,Plateau,North Central,5G Broadband Router,Female,4,Very Good,42,60GB Monthly Broadband Plan,"?14,500.00",4,"?58,000.00",171.16,No,
CUST0067,Ejiro Smith,Feb-25,61,Oyo,South West,Broadband MiFi,Female,1,Poor,18,150GB FUP Monthly Unlimited,"?20,000.00",20,"?400,000.00",128.52,No,
CUST0067,Ejiro Smith,Feb-25,61,Oyo,South West,5G Broadband Router,Female,1,Poor,18,30GB Monthly Broadband Plan,"?9,000.00",11,"?99,000.00",10.59,No,
CUST0068,Halima Anderson,Feb-25,32,Ondo,South West,5G Broadband Router,Male,5,Excellent,54,300GB FUP Monthly Unlimited,"?30,000.00",20,"?600,000.00",157.83,Yes,Better Offers from Competitors
CUST0069,Tunde Oliver,Mar-25,51,Plateau,North Central,4G Router,Male,2,Fair,35,65GB Monthly Plan,"?16,000.00",8,"?128,000.00",71.97,Yes,Better Offers from Competitors
CUST0070,Ese Obrien,Feb-25,18,Enugu,South East,4G Router,Female,4,Very Good,4,10GB+10mins Monthly Plan,"?4,500.00",4,"?18,000.00",102.89,No,
CUST0071,Alabo Keith,Mar-25,80,Osun,South West,Broadband MiFi,Male,4,Very Good,47,60GB Monthly Broadband Plan,"?14,500.00",14,"?203,000.00",169.54,No,
CUST0072,Ngozi Hernandez,Jan-25,78,Nasarawa,North Central,4G Router,Male,3,Good,58,25GB Monthly Plan,"?9,000.00",19,"?171,000.00",125.05,No,
CUST0073,Ese Flowers,Feb-25,64,Bauchi,North East,Mobile SIM Card,Female,1,Poor,30,165GB Monthly Plan,"?35,000.00",8,"?280,000.00",90.59,No,
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,North West,5G Broadband Router,Female,3,Good,27,1.5TB Yearly Broadband Plan,"?150,000.00",3,"?450,000.00",13.89,No,
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,North West,4G Router,Female,3,Good,27,65GB Monthly Plan,"?16,000.00",12,"?192,000.00",86.66,No,
CUST0074,Ibim Marshall,Jan-25,59,Sokoto,North West,Broadband MiFi,Female,3,Good,27,150GB FUP Monthly Unlimited,"?20,000.00",19,"?380,000.00",111.5,No,
CUST0075,Tega Medina,Feb-25,31,Kogi,North Central,5G Broadband Router,Female,1,Poor,56,60GB Monthly Broadband Plan,"?14,500.00",16,"?232,000.00",31.37,No,
CUST0075,Tega Medina,Feb-25,31,Kogi,North Central,4G Router,Female,1,Poor,56,10GB+10mins Monthly Plan,"?4,500.00",12,"?54,000.00",169.53,No,
CUST0075,Tega Medina,Feb-25,31,Kogi,North Central,Broadband MiFi,Female,1,Poor,56,120GB Monthly Broadband Plan,"?24,000.00",9,"?216,000.00",73.83,No,
CUST0076,Nura Mcneil,Feb-25,70,Kano,North West,5G Broadband Router,Female,3,Good,2,30GB Monthly Broadband Plan,"?9,000.00",5,"?45,000.00",36.69,No,
CUST0076,Nura Mcneil,Feb-25,70,Kano,North West,4G Router,Female,3,Good,2,165GB Monthly Plan,"?35,000.00",1,"?35,000.00",14.38,No,
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,North West,5G Broadband Router,Female,2,Fair,30,30GB Monthly Broadband Plan,"?9,000.00",20,"?180,000.00",31.54,No,
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,North West,Mobile SIM Card,Female,2,Fair,30,2.5GB 2-Day Plan,?900.00,9,"?8,100.00",134.96,No,
CUST0077,Chinedu Pitts,Mar-25,43,Jigawa,North West,Broadband MiFi,Female,2,Fair,30,60GB Monthly Broadband Plan,"?14,500.00",16,"?232,000.00",132.56,No,
CUST0078,Alabo Kelly,Jan-25,69,Akwa Ibom,South South,Mobile SIM Card,Male,3,Good,49,1GB+1.5mins Daily Plan,?500.00,13,"?6,500.00",9.56,No,
CUST0078,Alabo Kelly,Jan-25,69,Akwa Ibom,South South,5G Broadband Router,Male,3,Good,49,30GB Monthly Broadband Plan,"?9,000.00",10,"?90,000.00",2.03,No,
CUST0079,Fatima Pennington,Jan-25,33,Edo,South South,Mobile SIM Card,Female,1,Poor,21,165GB Monthly Plan,"?35,000.00",8,"?280,000.00",106.75,No,
CUST0079,Fatima Pennington,Jan-25,33,Edo,South South,Broadband MiFi,Female,1,Poor,21,120GB Monthly Broadband Plan,"?24,000.00",12,"?288,000.00",111.97,No,
CUST0080,Kunle Williams,Feb-25,66,Rivers,South South,Mobile SIM Card,Female,1,Poor,2,20GB Monthly Plan,"?7,500.00",13,"?97,500.00",58.26,No,
